time	V(n002)	V(n005)	I(C3)
1.708231071997837e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.738231071997871e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.768231071997905e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.798231071997939e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.828231071997973e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.858231071998007e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.888231071998041e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.918231071998075e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.948231071998109e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.978231071998143e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.990000000000000e-008	5.003207e-001	1.000000e+000	-2.728484e-012
1.990001687410505e-008	5.002418e-001	9.999156e-001	6.234488e-003
1.990005062231516e-008	5.000840e-001	9.997469e-001	9.352814e-003
1.990119525750132e-008	4.947328e-001	9.940237e-001	9.394952e-003
1.990233989268748e-008	4.893844e-001	9.883005e-001	9.448327e-003
1.990348452787363e-008	4.840389e-001	9.825773e-001	9.512939e-003
1.990462916305979e-008	4.786963e-001	9.768542e-001	9.588789e-003
1.990577379824595e-008	4.733565e-001	9.711310e-001	9.675875e-003
1.990691843343211e-008	4.680195e-001	9.654078e-001	9.774199e-003
1.990806306861827e-008	4.626855e-001	9.596847e-001	9.883760e-003
1.991006306861827e-008	4.533809e-001	9.496847e-001	1.015362e-002
1.991106306861827e-008	4.487364e-001	9.446847e-001	1.032454e-002
1.991206306861828e-008	4.440983e-001	9.396846e-001	1.052341e-002
1.991306306861828e-008	4.394677e-001	9.346846e-001	1.075306e-002
1.991406306861828e-008	4.348456e-001	9.296846e-001	1.101611e-002
1.991506306861828e-008	4.302333e-001	9.246846e-001	1.131484e-002
1.991606306861828e-008	4.256320e-001	9.196846e-001	1.165117e-002
1.991706306861828e-008	4.210431e-001	9.146847e-001	1.202647e-002
1.991806306861828e-008	4.164679e-001	9.096847e-001	1.244161e-002
1.992006306861828e-008	4.073642e-001	8.996847e-001	1.339154e-002
1.992206306861829e-008	3.983318e-001	8.896847e-001	1.449450e-002
